invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
S30762800003,2016-02-16,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,Polk,1081400.0,TRIPLE SEC,434.0,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.42,3.63,60,217.8,60.0,15.85
INV-27164800061,2020-05-11,3417,Big G Food Store,Po Box 261  310 W Dillon,Marengo,52301.0,,48,IOWA,1041300.0,American Sloe Gins,434,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,2,16.26,2.0,0.52
INV-28680600010,2020-07-14,5423,Stammer Liquor Corp,615 2nd Ave,Sheldon,51201.0,POINT (-95.854899 43.184242),71,OBRIEN,1041300.0,American Sloe Gins,434,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,2,16.26,2.0,0.52
INV-33292500043,2021-01-08,2624,Hy-Vee #2 / Dubuque,2395 NW Arterial Rd,Dubuque,52002.0,POINT (-90.741064 42.516633),31,DUBUQUE,1901200.0,Special Order Items,55,SAZERAC NORTH AMERICA,984161,SOOH 99 Blackberries Mini,10,50,6.0,9.0,3,27.0,0.15,0.03
INV-33343300023,2021-01-11,3542,Chuck's Sportsmans Beverage,244 W 4TH ST,St Ansgar,50472.0,POINT (-92.921298 43.378499),66,MITCHELL,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67527,Kahlua Coffee,12,1000,15.99,23.99,2,47.98,2.0,0.52
INV-12744600078,2018-06-19,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.67969 42.031819),57,LINN,1081500.0,Triple Sec,55.0,SAZERAC NORTH AMERICA,86390,Montezuma Triple Sec,12,1000,2.13,3.2,288,921.6,288.0,76.08
S30068300090,2016-01-06,2502,Hy-Vee Wine and Spirits / Ankeny,410 NORTH ANKENY BLVD,ANKENY,50021,,77,Polk,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,15.5,23.25,4,93.0,4.0,1.06
INV-18360300062,2019-03-26,2665,Hy-Vee / Waukee,1005 E Hickman Rd,Waukee,50263,POINT (-93.854477 41.615059),25,DALLAS,1091100.0,American Distilled Spirit Specialty,461,Skyy Spirits Inc,22102,Wild Turkey Longbranch,6,750,20.0,30.0,30,900.0,22.5,5.94
S31865700004,2016-04-19,2651,Hy-Vee / Waverly,1311 4 STREET SW,WAVERLY,50677,POINT (-92.475403 42.712263),9,Bremer,1081380.0,MISCELLANEOUS SCHNAPPS,55,Sazerac North America,81124,99 Peppermint Mini,10,600,5.94,8.91,2,17.82,1.2,0.32
S19560600184,2014-06-16,2629,Hy-Vee Food Store #2 / Council Bluff,1745 MADISON AVE,COUNCIL BLUFFS,51503,POINT (-95.825137 41.242732),78,Pottawattamie,1042100.0,IMPORTED DRY GINS,35,"Bacardi U.S.A., Inc.",28233,Bombay Sapphire Gin,12,1000,17.61,26.41,4,105.64,4.0,1.06
S14018400123,2013-08-21,2524,Hy-Vee Food Store / Dubuque,3500 DODGE ST,DUBUQUE,52001,,31,Dubuque,1081370.0,WATERMELON SCHNAPPS,65,Jim Beam Brands,82867,Dekuyper Watermelon Pucker,12,1000,7.62,11.43,4,45.72,4.0,1.06
S21781500001,2014-10-15,3789,Wal-Mart 1393 / Oskaloosa,2203 A AVENUE WEST,OSKALOOSA,52577,POINT (-92.669924 41.298516),62,Mahaska,1701100.0,DECANTERS & SPECIALTY PACKAGES,65,Jim Beam Brands,788,Red Stag w/4-50mls,6,950,11.03,16.55,12,198.6,11.4,3.01
S06449800141,2012-07-06,2517,Hy-Vee Food Store #1 / Newton,1501 FIRST AVENUE EAST,NEWTON,50208,POINT (-93.034296 41.69916),50,Jasper,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15627,Jameson,12,1000,17.4,26.1,4,104.4,4.0,1.06
INV-27378200110,2020-05-20,2522,Hy-Vee Wine and Spirits / Spirit Lake,Hwy 9 & 71,Spirit Lake,51360.0,,30,DICKINSON,1041300.0,American Sloe Gins,434,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,4,32.52,4.0,1.05
INV-33732200097,2021-01-25,2619,Hy-Vee Wine and Spirits / WDM,1725  74th St,West Des Moines,50266.0,POINT (-93.808855 41.598515),77,POLK,1011600,Straight Rye Whiskies,255.0,Infinium Spirits,27175,Templeton 4YR Rye,6,1000,21.0,31.5,6,189.0,6.0,1.58
INV-33867100018,2021-01-28,3447,Sam's Club 6432 / Sioux City,4201 S. York St.,Sioux City,51106.0,POINT (-96.37082 42.43407),97,WOODBURY,1081500,Triple Sec,434.0,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,144,522.72,144.0,38.04
INV-23554900001,2019-11-29,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1012300.0,Single Malt Scotch,420.0,MOET HENNESSY USA,5105,Glenmorangie Quinta Ruban,6,750,29.99,44.99,30,1349.7,22.5,5.94
INV-23509200011,2019-11-26,5526,Randall's Stop N Shop,320 5th St,Hudson,50643,POINT (-92.45494 42.406565),7,BLACK HAWK,1081100.0,Coffee Liqueurs,370.0,PERNOD RICARD USA,67527,Kahlua Coffee,12,1000,15.15,22.73,4,90.92,4.0,1.05
S07337600001,2012-10-01,3352,Cork 'n' Bottle,900 EAST MAIN ST.,MANCHESTER,52057,POINT (-91.445038 42.484073),28,Delaware,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,1399,Crown Royal w/Flask,4,1750,31.0,46.5,16,744.0,28.0,7.4
S18417000148,2014-04-15,2565,Hy-Vee Food Store / Spencer,819 N GRAND AVE,SPENCER,51301,POINT (-95.14506 43.145897),21,Clay,1081010.0,AMERICAN AMARETTO,434,Luxco-St Louis,76488,Paramount Amaretto,6,1750,8.07,12.11,3,36.33,5.25,1.39
S31923200010,2016-04-26,3944,Sam's Club 4973 / Dubuque,4400 ASBURY RD,DUBUQUE,52002,POINT (-90.737821 42.515289),31,Dubuque,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,15.5,23.25,144,3348.0,144.0,38.04
S32042800091,2016-04-28,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,Polk,1081317.0,GRAPE SCHNAPPS,65,Jim Beam Brands,82637,Dekuyper Grape Pucker,12,1000,7.87,11.81,60,708.6,60.0,15.85
S32187100134,2016-05-09,2560,Hy-Vee Food Store / Marion,3600 Business Hwy 151 East,Marion,52302,,57,Linn,1062100.0,JAMAICA RUM,260,Diageo Americas,42167,Myers's Rum Original Dark,12,1000,12.5,18.75,4,75.0,4.0,1.06
INV-15192100036,2018-10-22,2584,Hy-Vee Food Store / Fort Madison,2606 Avenue L,Fort Madison,52627,POINT (-91.343544 40.626988),56,LEE,1092100.0,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold Dss,12,1000,4.85,7.28,6,40.62,6.0,1.58
S08484400002,2012-10-22,3830,Wal-Mart 1435 / Creston,806 LAUREL ST,CRESTON,50801,POINT (-94.372786 41.047714),88,Union,1011500.0,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.08,27.13,30,813.9,22.5,5.94
S21339800028,2014-09-23,4426,LIQUOR AND GROCERY DEPOT,114 CENTRAL ST N Suite 1,MARSHALLTOWN,50158,POINT (-93.385376 41.190159),64,Marshall,1081380.0,MISCELLANEOUS SCHNAPPS,55,Sazerac North America,84172,99 Bananas Mini,10,600,5.94,8.91,50,445.5,30.0,7.93
INV-43048400026,2021-12-20,3773,Benz Distributing,501 7th Ave SE,Cedar Rapids,52401.0,POINT (-91.659875 41.97574),57,LINN,1092100,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,76227,Montezuma Blue,12,1000,4.66,6.99,180,1258.2,180.0,47.55
INV-43111000160,2021-12-21,2666,Hy-Vee Food Store #2 / State Ankeny,2510 SW State St,Ankeny,50023.0,POINT (-93.621928 41.705447),77,POLK,1091300,Neutral Grain Spirits Flavored,384,PIEDMONT DISTILLERS INC,76077,Midnight Moon Lightning Lemonade Mini,4,50,17.16,25.74,4,102.96,0.2,0.05
INV-36376200048,2021-05-05,3990,Cork and Bottle / Oskaloosa,309 A Ave West,Oskaloosa,52577.0,POINT (-92.648153 41.296228),62,MAHASKA,1011600,Straight Rye Whiskies,255,Infinium Spirits,26858,Templeton Rye 4YR,12,375,9.99,14.99,1,14.99,0.37,0.09
S06592500053,2012-07-16,4677,Costco Wholesale #1111 / Coralville,2900 HEARTLAND DR,CORALVILLE,52241,POINT (-91.61494100000002 41.698028),52,Johnson,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,3402,Captain Morgan Original Spiced Barrel Tray Pack,6,1750,17.5,26.25,864,22680.0,1512.0,399.43
S19117000024,2014-05-22,4827,Sauce,108 E COLLEGE ST,IOWA CITY,52240,POINT (-91.533522 41.658979),52,Johnson,1062100.0,JAMAICA RUM,260,Diageo Americas,42167,Myers's Rum Original Dark,12,1000,12.5,18.74,4,74.96,4.0,1.06
S19244300167,2014-05-29,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.21,3.31,156,516.36,156.0,41.21
INV-25820500004,2020-03-12,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314.0,POINT (-93.619787 41.60566),77,POLK,1901200.0,Special Order Items,363,Paterno Imports LTD / Terlato Wines International,904552,Ledaig 10 Year,6,750,33.55,50.33,18,905.94,13.5,3.56
S30758700005,2016-02-16,4764,New Star / Fort Dodge,1923 5TH AVE S,FORT DODGE,50501,POINT (-94.170859 42.501169),94,Webster,1031100.0,100 PROOF VODKA,297.0,Laird And Company,35913,Five O'clock Vodka,48,200,1.13,1.7,48,81.6,9.6,2.54
S30749200003,2016-02-22,3385,Sam's Club 8162 / Cedar Rapids,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.67969 42.031819),57,Linn,1062100.0,JAMAICA RUM,461.0,Campari(skyy),43371,Appleton Signature Blend,12,750,10.5,15.75,36,567.0,27.0,7.13
INV-27197800189,2020-05-12,2621,Hy-Vee Food Store #3 / Sioux City,3301 Gordon Dr,Sioux City,51105.0,POINT (-96.364108 42.487752),97,WOODBURY,1092100.0,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold DSS,12,1000,4.85,7.28,2,14.56,2.0,0.52
S14196500021,2013-10-22,3420,Sam's Club 6344 / Windsor Heights,1101  73RD STREET,WINDSOR HEIGHTS,50311,POINT (-93.718027 41.599172),77,Polk,1012210.0,SINGLE MALT SCOTCH,370,Pernod Ricard USA/Austin Nichols,5037,Glenlivet 12 Yr Malt Scotch,12,1000,26.99,40.49,360,14576.4,360.0,95.1
INV-33635900008,2021-01-20,5633,Home Town Wine & Spirits,1202 A Ave E,Oskaloosa,52577.0,POINT (-92.631487 41.296286),62,MAHASKA,1091300,Neutral Grain Spirits Flavored,346.0,OLE SMOKY DISTILLERY LLC,86843,Ole Smoky Salty Caramel Whiskey,6,750,10.0,15.0,18,270.0,13.5,3.56
INV-23455200010,2019-11-25,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1901200.0,Special Order Items,79.0,BRECKENRIDGE DISTILLERY,927461,SOOH Breckenridge Bourbon,6,750,28.5,42.75,18,769.5,13.5,3.56
INV-38999500039,2021-08-06,5236,"Giggle Juice Liquor Station, LLC",600 W Main St,Anamosa,52205.0,POINT (-91.29083400000002 42.108203),53,JONES,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67524,Kahlua Coffee,24,375,6.49,9.74,1,9.74,0.37,0.09
S19403500008,2014-06-09,2662,Hy-Vee Wine & Spirits / Muscatine,"522 MULBERRY, SUITE A",MUSCATINE,52761,POINT (-91.04437 41.426615),70,Muscatine,1081700.0,DISTILLED SPIRITS SPECIALTY,384,Piedmont Distillers,76038,Midnight Moon Cherry,6,750,11.0,16.5,18,297.0,13.5,3.57
S05039300004,2012-04-16,3494,Sam's Club 6514 / Waterloo,210 EAST TOWER PARK DR,WATERLOO,50702,POINT (-92.353103 42.456374),7,Black Hawk,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28868,Tanqueray Gin,6,1750,24.29,36.44,24,874.56,42.0,11.1
S07571200004,2012-09-05,2565,Hy-Vee Food Store / Spencer,819 N GRAND AVE,SPENCER,51301,POINT (-95.14506 43.145897),21,Clay,1081700.0,DISTILLED SPIRITS SPECIALTY,421,"Sazerac Co., Inc.",77487,Tortilla Gold Dss,12,1000,4.51,6.76,48,324.48,48.0,12.68
S04606800016,2012-03-19,4299,Hometown Market / Central City,9 WATERHOUSE AVE,CENTRAL CITY,52214,POINT (-91.530478 42.199296),57,Linn,1081400.0,TRIPLE SEC,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.21,3.32,4,13.28,4.0,1.06
S04991000031,2012-04-11,3385,Sam's Club 8162 / Cedar Rapids,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.67969 42.031819),57,Linn,1081400.0,TRIPLE SEC,55,Sazerac North America,86390,Montezuma Triple Sec,12,1000,2.13,3.19,168,535.92,168.0,44.38
S25421500069,2015-05-04,2487,Anamosa Family Foods,402 EAST MAIN,ANAMOSA,52205,POINT (-91.281344 42.108275),53,Jones,1081010.0,AMERICAN AMARETTO,434,Luxco-St Louis,76487,Paramount Amaretto,12,1000,4.05,6.08,5,30.4,5.0,1.32
S13860400005,2013-08-13,3766,Kolby's Liquor Store,419 W MILWAUKEE,NEW HAMPTON,50659,POINT (-92.32302900000002 43.066752),19,Chickasaw,1701100.0,DECANTERS & SPECIALTY PACKAGES,370,Pernod Ricard USA/Austin Nichols,1838,Malibu w/Dole Pineapple Juice,3,1750,15.99,23.99,3,71.97,5.25,1.39
S26537500085,2015-07-01,2593,Hy-Vee Food Store / Carroll,905 US HIGHWAY 30 WEST,CARROLL,51401,POINT (-94.853591 42.064155),14,Carroll,1081700.0,DISTILLED SPIRITS SPECIALTY,434,Luxco-St Louis,75087,Juarez Gold Dss,12,1000,4.92,7.38,48,354.24,48.0,12.68
INV-12953900012,2018-06-28,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1012300.0,Single Malt Scotch,240.0,William Grant & Sons Inc,4367,Balvenie Caribbean Cask 14yr,6,750,39.96,59.94,10,599.4,7.5,1.98
INV-23700600040,2019-12-05,5859,Liquor Tobacco & Grocery - Mason City,18 North Monroe Avenue,Mason City,50401.0,POINT (-93.208614 43.152301),17,CERRO GORD,,,55,SAZERAC NORTH AMERICA,84197,99 Pineapple Mini,10,600,6.0,9.0,10,90.0,6.0,1.58
S30470500042,2016-02-01,4223,STATION MART LIQUOR AND TOBACCO,1119 RIVER FOREST RD,EVANSDALE,50707,POINT (-92.297765 42.462807),7,Black Hawk,1081380.0,MISCELLANEOUS SCHNAPPS,55,Sazerac North America,84172,99 Bananas Mini,10,600,5.94,8.91,2,17.82,1.2,0.32
S15597200049,2013-11-07,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,14.99,22.48,48,1079.04,48.0,12.68
S12698400039,2013-06-11,4670,Guppy's On The Go / Tripoli,"600, 7TH AVE SW",TRIPOLI,50676,POINT (-92.264269 42.802374),9,Bremer,1031100.0,100 PROOF VODKA,300,Mccormick Distilling Company,36887,McCormick Vodka,12,1000,4.13,6.2,5,31.0,5.0,1.32
S32126000170,2016-05-03,2665,Hy-Vee / Waukee,1005 E Hickman Rd,Waukee,50263,POINT (-93.854477 41.615059),25,Dallas,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28866,Tanqueray Gin,12,750,12.5,18.75,72,1350.0,54.0,14.27
INV-15099600010,2018-10-17,3677,Barb's Service,1290 Hwy 18,Everly,51338,POINT (-95.329171 43.183718),21,CLAY,1081100.0,Coffee Liqueurs,65,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,4,50.36,4.0,1.05
INV-17892600001,2019-03-04,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1901200.0,Special Order Items,65,Jim Beam Brands,902810,Cruzan Pineapple,12,1000,8.4,12.6,5,63.0,5.0,1.32
S17790300075,2014-03-10,3814,Costco Wholesale #788,7205 MILLS CIVIC PKWY,WEST DES MOINES,50266,POINT (-93.806489 41.561342),25,Dallas,1042100.0,IMPORTED DRY GINS,35,"Bacardi U.S.A., Inc.",28233,Bombay Sapphire Gin,12,1000,17.61,26.41,96,2535.36,96.0,25.36
INV-36394100029,2021-05-06,3494,Sam's Club 6514 / Waterloo,210 East Tower Park Dr,Waterloo,50702.0,POINT (-92.353103 42.456374),7,BLACK HAWK,1081500,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,144,522.72,144.0,38.04
S16209600160,2013-12-11,3990,Cork and Bottle / Oskaloosa,309 A AVE WEST,OSKALOOSA,52577,POINT (-92.648153 41.296228),62,Mahaska,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15621,Jameson Mini,10,600,11.88,17.82,2,35.64,1.2,0.32
S10471700041,2013-02-06,3417,Big G Food Store,PO BOX 261  310 W DILLON,MARENGO,52301,,48,Iowa,1081340.0,ROOT BEER SCHNAPPS,380,Phillips Beverage Company,84617,Phillips Root Beer Schnapps,12,1000,5.5,8.25,5,41.25,5.0,1.32
S05470800011,2012-05-10,4192,Fareway Stores #044 / Bettendorf,3800 BELMONT RD,BETTENDORF,52722,POINT (-90.480368 41.556273),82,Scott,1031100.0,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.46,11.19,24,268.56,42.0,11.1
S08958600047,2012-11-14,2595,Hy-Vee Wine and Spirits / Denison,"1620  4TH AVE, SOUTH",DENISON,51442,POINT (-95.348601 42.012395),24,Crawford,1011500.0,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.08,27.13,30,813.9,22.5,5.94
S18497800014,2014-04-23,4023,Wal-Mart 1389 / Boone,1515 SE MARSHALL ST,BOONE,50036,POINT (-93.869892 42.035093),8,Boone,1701100.0,DECANTERS & SPECIALTY PACKAGES,65,Jim Beam Brands,19081,Jim Beam Operation Homefront,6,1750,19.94,29.91,24,717.84,42.0,11.1
S22990300001,2014-12-17,4161,Fareway Stores #950 / Iowa City,2530 WESTWINDS DR,IOWA CITY,52246,POINT (-91.575636 41.650842),52,Johnson,1701100.0,DECANTERS & SPECIALTY PACKAGES,370,Pernod Ricard USA/Austin Nichols,647,Kahlua w/Absolut 50ml & White Russian Glass,6,800,10.99,16.49,6,98.94,4.8,1.27
INV-14109700228,2018-08-28,2572,Hy-Vee Food Store / Cedar Falls,6301 University,Cedar Falls,50613,POINT (-92.435236 42.512789),7,BLACK HAWK,1081500.0,Triple Sec,421.0,SAZERAC COMPANY  INC,86637,Tortilla Triple Sec,12,1000,3.01,4.52,4,18.08,4.0,1.05
INV-00637100048,2016-10-03,4273,Smokin' Joe's #4 Tobacco and Liquor Outlet,2800 E University Ave,Des Moines,50317,POINT (-93.562106 41.600564),77,POLK,,,115.0,CONSTELLATION BRANDS INC,10549,Black Velvet Toasted Caramel Mini DISCO,10,600,7.12,10.68,2,21.36,1.2,0.32
INV-39683700008,2021-08-31,3826,Lakeside Hotel & Casino,777 Casino Dr,Osceola,50213.0,POINT (-93.797561 41.040078),20,CLARKE,1041300.0,American Sloe Gins,434,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,2,16.26,2.0,0.52
INV-39761600001,2021-09-02,3447,Sam's Club 6432 / Sioux City,4201 S. York St.,Sioux City,51106.0,POINT (-96.37082 42.43407),97,WOODBURY,1901200.0,Special Order Items,421,SAZERAC COMPANY  INC,946574,Members Mark Spiced Rum,6,1750,7.92,11.88,288,3421.44,504.0,133.14
INV-27217700062,2020-05-13,5144,Sam's Club 6979 / Ankeny,4625 SE Delaware Ave,Ankeny,50021.0,POINT (-93.581273 41.691),77,POLK,1081500.0,Triple Sec,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.33,3.5,48,168.0,48.0,12.68
INV-28693300002,2020-07-14,2666,Hy-Vee Food Store #2 / State Ankeny,2510 SW State St,Ankeny,50023.0,POINT (-93.621824 41.705188),77,POLK,1011600.0,Straight Rye Whiskies,85,Brown Forman Corp.,27130,Woodford Reserve Rye,6,750,22.49,33.74,30,1012.2,22.5,5.94
S28322500028,2015-10-07,3818,Round Window Liquor,703 W PLEASANT ST,KNOXVILLE,50138,POINT (-93.10564100000002 41.320746),63,Marion,1031100.0,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,3,33.63,5.25,1.39
S30358500132,2016-01-25,2613,Hy-Vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.879662 41.261925),78,Pottawattamie,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,15.5,23.25,4,93.0,4.0,1.06
S23646400001,2015-01-22,2636,Hy-Vee Wine and Spirits / Hubbell,2310 HUBBELL AVE,DES MOINES,50317,POINT (-93.573845 41.604312),77,Polk,1701100.0,DECANTERS & SPECIALTY PACKAGES,65,Jim Beam Brands,456,Knob Creek w/2-50mls,6,850,20.47,30.71,6,184.26,5.1,1.35
S05621300026,2012-05-21,3529,A To Z Liquor and Smoke Shop,114 S SECOND,CHEROKEE,51012,POINT (-95.55132 42.749013),18,Cherokee,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,14.99,22.48,4,89.92,4.0,1.06
S22457400025,2014-11-19,3723,J D Spirits Liquor,1023  9TH ST,ONAWA,51040,POINT (-96.095845 42.025841),67,Monona,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,15.25,22.88,4,91.52,4.0,1.06
INV-18411900087,2019-03-28,4988,Happy's Wine & Spirits,5925 University Ave,Cedar Falls,50613,POINT (-92.429331 42.512766),7,BLACK HAWK,1011600.0,Straight Rye Whiskies,255,Infinium Spirits,27175,Templeton 4YR Rye,6,1000,21.0,31.5,6,189.0,6.0,1.58
INV-18352900007,2019-03-26,3896,Smokin' Joe's #18 Tobacco and Liquor Outlet,1901 Broadway St,Iowa City,52240,POINT (-91.520308 41.641383),52,JOHNSON,1062100.0,Gold Rum,434,LUXCO INC,45247,Paramount Gold Rum,12,1000,4.42,6.63,4,26.52,4.0,1.05
S05320400061,2012-05-01,2625,Hy-Vee Wine and Spirits #2,3301 W KIMBERLY RD,DAVENPORT,52804,,82,Scott,1081400.0,TRIPLE SEC,55,Sazerac North America,86390,Montezuma Triple Sec,12,1000,2.13,3.19,168,535.92,168.0,44.38
S09502700004,2012-12-17,2604,Hy-Vee Wine and Spirits / Lemars,1201 12TH AVE SW,LEMARS,51031,POINT (-96.18335000000002 42.778257),75,Plymouth,1081700.0,DISTILLED SPIRITS SPECIALTY,346,"Ole Smoky Distillery, LLC",86728,Ole Smoky Cherry Moonshine,12,750,15.08,22.62,36,814.32,27.0,7.13
S21551100019,2014-10-01,2599,Hy-Vee Wine and Spirits / Coralville,1914 8TH STREET,CORALVILLE,52241,POINT (-91.590715 41.682013),52,Johnson,,,259,Heaven Hill Brands,59100,Evan Williams Egg Nog,12,750,4.46,6.69,36,240.84,27.0,7.13
S07384200004,2012-10-09,3647,Wal-Mart 2889 / Clinton,2715 SOUTH 25TH ST,CLINTON,52732,POINT (-90.245005 41.818874),23,Clinton,1701100.0,DECANTERS & SPECIALTY PACKAGES,305,MHW Ltd,1377,Rumchata Shaker Gift Set,6,750,12.5,18.75,60,1125.0,45.0,11.89
S28197000074,2015-09-30,2572,Hy-Vee Food Store / Cedar Falls,6301 UNIVERSITY,CEDAR FALLS,50613,POINT (-92.435236 42.512789),7,Black Hawk,1031100.0,100 PROOF VODKA,300,Mccormick Distilling Company,36887,McCormick Vodka,12,1000,4.13,6.2,5,31.0,5.0,1.32
S10827500032,2013-02-27,2653,Hy-Vee Wine and Spirits / Washington,1004 W MADISON ST,WASHINGTON,52353,POINT (-91.704567 41.296576),92,Washington,1042100.0,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,14.99,22.48,4,89.92,4.0,1.06
INV-03478300051,2017-02-27,2643,Hy-Vee Wine and Spirits / Waterloo,2126 Kimball Ave,Waterloo,50701.0,,7,BLACK HAWK,1081500.0,Triple Sec,65,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.33,3.5,4,14.0,4.0,1.06
INV-06870300058,2017-08-24,4345,Lucky Mart,1031 West St,Grinnell,50112,POINT (-92.727379 41.745903),79,POWESHIEK,1062100.0,Gold Rum,35,BACARDI USA INC,43038,Bacardi Gold Rum,6,1750,15.0,22.5,3,67.5,5.25,1.39
INV-27409900007,2020-05-21,5185,Kum & Go #521  /  Coralville,205 2nd St,Coralville,52241.0,POINT (-91.568025 41.669799),52,JOHNSON,1011600.0,Straight Rye Whiskies,255,Infinium Spirits,26858,Templeton 4YR Rye,12,375,9.99,14.99,5,74.95,1.87,0.49
INV-33887500015,2021-01-29,3712,Monte Spirits,109 N 4th St,Montezuma,50171.0,POINT (-92.523692 41.585429),79,POWESHIEK,1081500,Triple Sec,434.0,LUXCO INC,86507,Paramount Triple Sec,12,1000,3.84,5.76,2,11.52,2.0,0.52
INV-13003400001,2018-06-29,2573,Hy-Vee Food Store / Muscatine,2400 2nd Ave,Muscatine,52761,POINT (-91.035138 41.451349),70,MUSCATINE,1012300.0,Single Malt Scotch,420.0,MOET HENNESSY USA,464,Glenmorangie Pioneer Pack,6,850,23.49,35.24,18,634.32,15.3,4.04
S20176900004,2014-07-17,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,POINT (-93.664182 41.586319),77,Polk,1701100.0,DECANTERS & SPECIALTY PACKAGES,370,Pernod Ricard USA/Austin Nichols,730,Absolut w/2 Citron 50ml & 2 Mandrin 50ml,6,950,11.49,17.24,6,103.44,5.7,1.51
S32091200002,2016-05-02,3773,Benz Distributing,501 7th Ave SE,Cedar Rapids,52401,POINT (-91.659875 41.97574),57,Linn,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86507,Paramount Triple Sec,12,1000,3.84,5.76,144,829.44,144.0,38.04
S32044600195,2016-04-28,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1081317.0,GRAPE SCHNAPPS,65,Jim Beam Brands,82637,Dekuyper Grape Pucker,12,1000,7.87,11.81,96,1133.76,96.0,25.36
