invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-13186100054,2018-07-11,5514,Johncy's Liquor Store,585 Hwy 965 Ste D & E,North Liberty,52317,POINT (-91.60761 41.738129),52,JOHNSON,1062100.0,Gold Rum,35.0,BACARDI USA INC,43037,Bacardi Gold Rum,12,1000,9.5,14.25,4,57.0,4.0,1.06
INV-23448900004,2019-11-25,9002,Mississippi River Distillery,303 N Cody Rd,Leclaire,52753,POINT (-90.34359400000001 41.599733),82,Scott,1081100.0,Coffee Liqueurs,306.0,MISSISSIPPI RIVER DISTIL,74776,Iowa Coffee Company Liqueur,12,375,9.0,13.5,60,810.0,22.5,5.94
INV-23595200013,2019-12-02,4518,Casey's General Store #2824 / WDM,6630 Mills Civic Parkway,West Des Moines,50266.0,POINT (-93.799283 41.561791),77,POLK,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67524,Kahlua Coffee,24,375,6.49,9.74,3,29.22,1.12,0.29
S30317600200,2016-01-21,2587,Hy-Vee Food Store / Johnston,5750 MERLE HAY ROAD,JOHNSTON,50131,POINT (-93.697731 41.665172),77,Polk,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86310,La Prima Triple Sec,12,1000,3.0,4.5,4,18.0,4.0,1.06
S30644500009,2016-02-09,4660,Hill Brothers Jiffy Mart / Cedar Rap,"1904, MT VERNON RD SE",CEDAR RAPIDS,52403,POINT (-91.642561 41.977226),57,Linn,1031100.0,100 PROOF VODKA,297,Laird And Company,35913,Five O'clock Vodka,48,200,1.13,1.7,48,81.6,9.6,2.54
INV-10006000058,2018-01-25,3420,Sam's Club 6344 / Windsor Heights,,,,,,,1092100.0,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.17,7.76,84,619.92,84.0,22.19
S21565000095,2014-10-02,3456,Quick Shop / Clear Lake,904 N 8TH ST,CLEAR LAKE,50428,POINT (-93.378772 43.142868),17,Cerro Gordo,1081315.0,CINNAMON SCHNAPPS,65,Jim Beam Brands,82610,Dekuyper Hot Damn!,12,1000,7.62,11.43,4,45.72,4.0,1.06
INV-18133600001,2019-03-14,2106,Hillstreet News and Tobacco,2217 College,Cedar Falls,50613,POINT (-92.455796 42.517182),7,BLACK HAWK,1901200.0,Special Order Items,421,SAZERAC COMPANY  INC,918010,Buffalo Trace Bourbon buy the Barrel,12,750,13.0,19.5,228,4446.0,171.0,45.17
INV-19118200044,2019-05-02,2627,Hy-Vee Wine & Spirits #1 / MLK,3330 Martin Luther King Jr Pkwy,Des Moines,50310,POINT (-93.65078800000002 41.625924),77,POLK,1092100.0,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold Dss,12,1000,4.85,7.28,8,58.24,8.0,2.11
S22279200028,2014-11-10,3705,Liquor Locker,507 1ST AVE #100,ROCK RAPIDS,51246,,60,Lyon,1051110.0,BLACKBERRY BRANDIES,434,Luxco-St Louis,55084,Paramount Blackberry Brandy,24,375,3.55,5.33,5,26.65,1.88,0.5
S09675600110,2012-12-24,2573,Hy-Vee Food Store / Muscatine,2400 2ND AVE,MUSCATINE,52761,POINT (-91.035138 41.451349),70,Muscatine,1081700.0,DISTILLED SPIRITS SPECIALTY,384,Piedmont Distillers,76036,Midnight Moon Apple Pie,6,750,10.42,15.63,18,281.34,13.5,3.57
S24255500056,2015-02-26,3456,Quick Shop / Clear Lake,904 N 8TH ST,CLEAR LAKE,50428,POINT (-93.378772 43.142868),17,Cerro Gordo,1081370.0,WATERMELON SCHNAPPS,65,Jim Beam Brands,82867,Dekuyper Watermelon Pucker,12,1000,7.62,11.43,5,57.15,5.0,1.32
S18886900001,2014-05-12,3562,Wal-Mart 0797 / W Burlington,324 WEST AGENCY RD,WEST BURLINGTON,52655,POINT (-91.158407 40.813125),29,Des Moines,1701100.0,DECANTERS & SPECIALTY PACKAGES,322,Prestige Wine and Spirits Group,772,Kinky Summer Pack w/2 375ml,6,750,10.0,15.0,30,450.0,22.5,5.94
S27848700001,2015-10-13,3592,Wal-Mart 0886 / Fort Dodge,3036 1ST AVE SOUTH,FORT DODGE,50501,POINT (-94.153456 42.505334),42,Hardin,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,1400,Crown Royal w/2 Glasses,6,750,15.0,22.5,120,2700.0,90.0,23.78
S15748100007,2013-11-20,3524,Sam's Club 6568 / Ames,305 AIRPORT RD,AMES,50010,POINT (-93.613648 42.001123),85,Story,1081312.0,BUTTERSCOTCH SCHNAPPS,65,Jim Beam Brands,82787,Dekuyper Buttershots,12,1000,7.62,11.43,48,548.64,48.0,12.68
S28134400048,2015-09-28,2191,Keokuk Spirits,1013 MAIN,KEOKUK,52632,POINT (-91.387797 40.400038),56,Lee,1081700.0,DISTILLED SPIRITS SPECIALTY,434,Luxco-St Louis,75087,Juarez Gold Dss,12,1000,4.92,7.38,60,442.8,60.0,15.85
S23183000187,2014-12-26,2591,Hy-Vee Wine and Spirits / Atlantic,1602 E. 7TH ST.,ATLANTIC,50022,POINT (-94.990031 41.403856),15,Cass,1081350.0,SPEARMINT SCHNAPPS,434,Luxco-St Louis,82187,Arrow Spearmint Schnapps,12,1000,5.0,7.5,4,30.0,4.0,1.06
S14086300014,2013-10-11,2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,,77,Polk,1701100.0,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,2870,Bailey's Original Irish Cream w/2 Glasses,6,750,13.0,19.5,90,1755.0,67.5,17.83
